,br,km,n_acidentes,n_feridos_graves,n_feridos_leves,n_mortos,municipio,uf
0,101,"48,77",36,7,15,0,Joinville,SC
1,101,"50,51",36,3,14,0,Joinville,SC
2,101,"140,48",54,4,42,0,Balneário Camboriú,SC
3,101,"114,8",63,12,41,0,Itajaí,SC
4,101,"114,9",62,12,41,0,Itajaí,SC
5,101,"116,5",77,13,56,1,Itajaí,SC
6,101,"196,05",72,8,57,2,Biguaçu,SC
7,101,"196,15",70,8,54,2,Biguaçu,SC
8,101,"198,8",90,19,61,1,São José,SC
9,101,"203,85",222,28,174,0,São José,SC
10,101,"204,25",225,28,177,1,São José,SC
11,101,"204,75",229,25,198,2,São José,SC
12,101,"204,77",229,25,198,2,São José,SC
13,101,"209,15",208,43,173,5,São José,SC
14,101,"209,9",194,36,152,4,São José,SC
15,101,"210,7",191,30,133,4,São José,SC
16,101,"212,3",210,35,144,3,Palhoça,SC
17,101,"212,35",213,35,145,3,Palhoça,SC
18,101,"213,29",223,34,150,2,Palhoça,SC
19,101,"213,66",222,41,144,6,Palhoça,SC
20,101,"213,85",220,42,142,6,Palhoça,SC
21,101,"215,05",212,41,142,5,Palhoça,SC
22,101,"215,55",168,42,107,4,Palhoça,SC
23,376,"650,8",66,2,48,1,Tijucas do Sul,PR
24,376,"664,773",114,14,49,2,Guaratuba,PR
25,376,"667,013",101,10,51,5,Guaratuba,PR
26,376,"668,334",70,9,38,5,Guaratuba,PR
27,376,"668,88",49,5,24,5,Guaratuba,PR
